Level,Expression,Value,Refresh
0,"*","*","*"
0,Total: 1,,
0,"Arm_record_auto_mode_step",,"Off"
 1,"[0]",,"Off"
 1,"[1]",,"Off"
 1,"[2]",,"Off"
 1,"[3]",,"Off"
 1,"[4]",,"Off"
 1,"[5]",,"Off"
 1,"[6]",,"Off"
 1,"[7]",,"Off"
 1,"[8]",,"Off"
 1,"[9]",,"Off"
 1,"[10]",,"Off"
 1,"[11]",,"Off"
 1,"[12]",,"Off"
 1,"[13]",,"Off"
 1,"[14]",,"Off"
 1,"[15]",,"Off"
 1,"[16]",,"Off"
 1,"[17]",,"Off"
 1,"[18]",,"Off"
 1,"[19]",,"Off"
 1,"[20]",,"Off"
 1,"[21]",,"Off"
 1,"[22]",,"Off"
 1,"[23]",,"Off"
 1,"[24]",,"Off"
 1,"[25]",,"Off"
 1,"[26]",,"Off"
 1,"[27]",,"Off"
 1,"[28]",,"Off"
 1,"[29]",,"Off"
 1,"[30]",,"Off"
 1,"[31]",,"Off"
 1,"[32]",,"Off"
 1,"[33]",,"Off"
 1,"[34]",,"Off"
 1,"[35]",,"Off"
 1,"[36]",,"Off"
 1,"[37]",,"Off"
 1,"[38]",,"Off"
 1,"[39]",,"Off"
 1,"[40]",,"Off"
 1,"[41]",,"Off"
 1,"[42]",,"Off"
 1,"[43]",,"Off"
 1,"[44]",,"Off"
 1,"[45]",,"Off"
 1,"[46]",,"Off"
 1,"[47]",,"Off"
 1,"[48]",,"Off"
 1,"[49]",,"Off"
 1,"[50]",,"Off"
 1,"[51]",,"Off"
 1,"[52]",,"Off"
 1,"[53]",,"Off"
 1,"[54]",,"Off"
 1,"[55]",,"Off"
 1,"[56]",,"Off"
 1,"[57]",,"Off"
 1,"[58]",,"Off"
 1,"[59]",,"Off"
 1,"[60]",,"Off"
 1,"[61]",,"Off"
 1,"[62]",,"Off"
 1,"[63]",,"Off"
 1,"[64]",,"Off"
 1,"[65]",,"Off"
 1,"[66]",,"Off"
 1,"[67]",,"Off"
 1,"[68]",,"Off"
 1,"[69]",,"Off"
 1,"[70]",,"Off"
 1,"[71]",,"Off"
 1,"[72]",,"Off"
 1,"[73]",,"Off"
 1,"[74]",,"Off"
 1,"[75]",,"Off"
 1,"[76]",,"Off"
 1,"[77]",,"Off"
 1,"[78]",,"Off"
 1,"[79]",,"Off"
 1,"[80]",,"Off"
 1,"[81]",,"Off"
 1,"[82]",,"Off"
 1,"[83]",,"Off"
 1,"[84]",,"Off"
 1,"[85]",,"Off"
 1,"[86]",,"Off"
 1,"[87]",,"Off"
 1,"[88]",,"Off"
 1,"[89]",,"Off"
 1,"[90]",,"Off"
 1,"[91]",,"Off"
 1,"[92]",,"Off"
 1,"[93]",,"Off"
 1,"[94]",,"Off"
 1,"[95]",,"Off"
 1,"[96]",,"Off"
 1,"[97]",,"Off"
 1,"[98]",,"Off"
 1,"[99]",,"Off"
